internal_name,title,deal_id,game_id,store_id,Sale_price,normal_price,is_on_sale,rating,rating_pct,ratings
OLIJA,Olija,,225453,1,2.99,14.99,1,Very Positive,90,863
STATEOFMIND,State of Mind,,163161,1,1.99,19.99,1,Mostly Positive,77,1519
STEALTHBASTARDDELUXE,Stealth Bastard Deluxe,,93923,1,1.29,12.99,1,Very Positive,88,710
CHICKENPOLICEPAINTITRED,Chicken Police - Paint it RED,,222464,1,4.99,19.99,1,Very Positive,94,1582
SPORE,SPORE,,198,1,4.99,19.99,1,Very Positive,92,37193
CRYSISWARHEAD,Crysis Warhead,,261,1,4.99,19.99,1,Very Positive,84,1456
WHENSKILIFTSGOWRONG,When Ski Lifts Go Wrong,,194665,1,1.49,14.99,1,Very Positive,87,509
HAMILTONSGREATADVENTURE,Hamilton's Great Adventure,,463,1,0.99,9.99,1,Mixed,69,229
KANEANDLYNCH2DOGDAYS,Kane and Lynch 2: Dog Days,,3992,1,1.49,9.99,1,Mostly Positive,71,2760
ANOMALY2,Anomaly 2,,97298,1,1.49,14.99,1,Mostly Positive,78,432
SERIOUSSAMTHERANDOMENCOUNTER,Serious Sam: The Random Encounter,,157,1,0.74,4.99,1,Mixed,50,648
WARP,Warp,,5517,1,1.99,9.99,1,Mixed,66,378
ALICEMADNESSRETURNS,Alice: Madness Returns,,408,1,1.99,9.99,1,Very Positive,88,10338
MCPIXEL3,McPixel 3,,253328,1,1.99,9.99,1,Overwhelmingly Positive,96,1140
UNRAILED,Unrailed!,,204790,1,2.99,19.99,1,Very Positive,94,4589
BOUNTYTRAIN,Bounty Train,,145519,1,0.99,9.99,1,Mostly Positive,70,1294
HOLYPOTATOESWEREINSPACE,Holy Potatoes! Were in Space?!,,165716,1,0.99,9.99,1,Mostly Positive,70,455
DUNGEONHEARTS,Dungeon Hearts,,96203,1,0.59,2.99,1,Mixed,65,352
NBA2K26,NBA 2K26,,305539,1,19.99,79.99,1,Mostly Positive,74,7096
LOSTINRANDOM,Lost in Random,,232447,1,5.99,29.99,1,Very Positive,89,2546
DESPERADOSIII,Desperados III,,214001,1,9.99,39.99,1,Overwhelmingly Positive,95,4254
DICEYDUNGEONS,Dicey Dungeons,,204078,1,3.74,14.99,1,Very Positive,90,6109
RIDE2,Ride 2,,153995,1,2.49,24.99,1,Very Positive,83,895
BLOCKHOOD,Block'hood,,150836,1,2.99,14.99,1,Mostly Positive,73,1171
THISWAROFMINE,This War of Mine,,136930,1,2.99,19.99,1,Very Positive,92,22782
FIREUNGHSQUEST,Fire: Unghs Quest,,228428,1,0.99,9.99,1,Very Positive,86,465
NOTAHERO,NOT A HERO,,143337,1,3.99,19.99,1,Very Positive,87,1624
WARHAMMERENDTIMESVERMINTIDE,Warhammer: End Times - Vermintide,,145156,1,2.99,29.99,1,Very Positive,83,7836
SKYHILL,SKYHILL,,145643,1,0.99,9.99,1,Mixed,69,624
